ID,EXAMPLE,ENTITIES,V,A,D,EDU,MAJOR,EXP,ROLE,LANG
1,DL,3,7,6,7,5,CS,17,D,J
1,EH,4,9,4,4,5,CS,17,D,J
1,AH,13,5,5,5,5,CS,17,D,J
1,CL,2,7,7,3,5,CS,17,D,J
1,BH,10,9,5,1,5,CS,17,D,J
2,AH,13,9,7,7,5,CS,12,A,P
2,DL,3,3,8,7,5,CS,12,A,P
2,EL,5,2,3,9,5,CS,12,A,P
2,BH,10,9,1,9,5,CS,12,A,P
2,CL,2,5,5,7,5,CS,12,A,P
3,DH,4,8,3,2,3,CS,20,D,J
3,BL,8,2,8,9,3,CS,20,D,J
3,EL,5,5,7,7,3,CS,20,D,J
3,AH,13,3,8,7,3,CS,20,D,J
3,CL,2,8,3,2,3,CS,20,D,J
4,CH,3,4,5,7,3,CS,2,D,J
4,AL,8,4,6,8,3,CS,2,D,J
4,EH,4,6,7,7,3,CS,2,D,J
4,DL,3,3,8,8,3,CS,2,D,J
4,BH,10,4,7,5,3,CS,2,D,J
5,AH,13,7,3,5,4,SE,10,A,CS
5,CL,2,8,6,7,4,SE,10,A,CS
5,DL,3,1,5,2,4,SE,10,A,CS
5,BH,10,8,4,7,4,SE,10,A,CS
5,EL,5,7,3,6,4,SE,10,A,CS
6,AH,13,3,7,6,3,CS,20,D,A
6,CL,2,7,4,3,3,CS,20,D,A
6,EL,5,7,3,2,3,CS,20,D,A
6,DH,4,7,6,2,3,CS,20,D,A
6,BL,8,8,3,2,3,CS,20,D,A
7,EL,5,6,6,2,3,SE,2,T,CS
7,DH,4,4,3,3,3,SE,2,T,CS
7,CH,3,3,6,5,3,SE,2,T,CS
7,AL,8,6,6,2,3,SE,2,T,CS
7,BH,10,5,5,5,3,SE,2,T,CS
8,EH,4,4,6,6,5,SE,1,D,CS
8,CL,2,5,7,5,5,SE,1,D,CS
8,AL,8,4,6,4,5,SE,1,D,CS
8,DH,4,6,6,3,5,SE,1,D,CS
8,BL,8,6,7,2,5,SE,1,D,CS
9,EL,5,1,1,9,5,SE,11,D,SAP
9,DH,4,1,1,7,5,SE,11,D,SAP
9,CH,3,1,1,7,5,SE,11,D,SAP
9,BL,8,3,1,7,5,SE,11,D,SAP
9,AH,13,1,5,9,5,SE,11,D,SAP
10,BL,8,6,6,3,3,SE,14,D,JS
10,EH,4,4,5,6,3,SE,14,D,JS
10,DH,4,5,4,3,3,SE,14,D,JS
